 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"130410 Tapauá";-;-;-;-;-;19524,00;-;21240,00;-;40764,00
"130420 Tefé";-;13572,00;206532,00;118092,00;27576,00;17028,00;27544,00;30824,00;-;441168,00
"130423 Tonantins";-;24000,00;34500,00;16500,00;6000,00;-;12000,00;-;4500,00;97500,00
"130426 Uarini";-;-;44148,00;27496,00;6104,20;7588,00;12160,00;13676,00;-;111172,20
"130430 Urucará";-;-;22620,00;37700,00;43723,00;22620,00;-;16588,00;-;143251,00
"140005 Alto Alegre";-;-;4540,12;6000,00;1500,00;-;-;-;-;12040,12
"140010 Boa Vista";4372,32;481204,71;1439405,44;945956,73;406190,97;559871,85;392845,32;979141,55;726820,69;5935809,58
"140020 Caracaraí";-;-;-;-;-;-;-;-;1556,00;1556,00
"140023 Caroebe";-;3048,00;4556,00;4564,00;1516,00;-;-;-;-;13684,00
"140030 Mucajaí";-;1500,00;3000,00;9000,00;1500,00;-;-;-;-;15000,00
"140040 Normandia";-;-;16500,00;-;3000,00;1500,00;-;-;-;21000,00
"140045 Pacaraima";1532,00;-;7579,99;8169,73;-;3064,00;-;-;-;20345,72
"140047 Rorainópolis";-;-;33718,12;38408,50;24210,75;16756,88;-;-;3070,05;116164,30
"140050 São João da Baliza";-;1524,00;-;3040,00;1524,00;-;-;-;-;6088,00
"140060 São Luiz";-;-;1640,42;-;19500,00;-;-;-;-;21140,42
