 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jul/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150345 Ipixuna do Pará";38;38;57872,00;46319,62;-;-;11552,38;-;-;1522,95;1522,95;157;4,1;-;-
"150360 Itaituba";78;78;117178,37;93438,50;-;-;23739,87;-;-;1502,29;1502,29;414;5,3;31;39,74
"150370 Itupiranga";37;37;55501,00;44252,63;-;-;11248,37;-;-;1500,03;1500,03;71;1,9;-;-
"150380 Jacundá";31;31;46500,00;37075,69;-;-;9424,31;-;-;1500,00;1500,00;100;3,2;-;-
"150390 Juruti";22;22;33765,58;27027,05;-;-;6738,53;-;-;1534,80;1534,80;143;6,5;7;31,82
"150405 Mãe do Rio";14;14;21264,00;17007,86;-;-;4256,14;-;-;1518,86;1518,86;49;3,5;-;-
"150420 Marabá";75;75;289453,79;242316,64;-;-;47137,15;-;-;3859,38;3859,38;594;7,9;24;32,00
"150442 Marituba";1;1;2102,99;1737,06;-;-;365,93;-;-;2102,99;2102,99;26;26,0;-;-
"150460 Mocajuba";10;10;15384,00;12343,90;-;-;3040,10;-;-;1538,40;1538,40;50;5,0;-;-
"150470 Moju";5;5;7840,29;6320,24;-;-;1520,05;-;-;1568,06;1568,06;33;6,6;1;20,00
"150480 Monte Alegre";43;43;66454,74;53308,78;-;-;13145,96;-;-;1545,46;1545,46;259;6,0;12;27,91
"150490 Muaná";4;4;6144,00;4927,96;-;-;1216,04;-;-;1536,00;1536,00;18;4,5;1;25,00
"150495 Nova Esperança do Piriá";22;22;33000,00;26311,78;-;-;6688,22;-;-;1500,00;1500,00;106;4,8;-;-
"150497 Nova Ipixuna";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;6;2,0;-;-
"150503 Novo Progresso";30;30;45112,00;35991,70;-;-;9120,30;-;-;1503,73;1503,73;89;3,0;1;3,33
"150520 Oeiras do Pará";37;37;55500,00;44251,63;-;-;11248,37;-;-;1500,00;1500,00;136;3,7;10;27,03
"150530 Oriximiná";31;31;47357,59;37933,28;-;-;9424,31;-;-;1527,66;1527,66;204;6,6;6;19,35
"150540 Ourém";11;11;16980,00;13635,89;-;-;3344,11;-;-;1543,64;1543,64;60;5,5;-;-
"150543 Ourilândia do Norte";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;19;3,2;-;-
"150548 Pacajá";35;35;53548,00;42907,65;-;-;10640,35;-;-;1529,94;1529,94;135;3,9;-;-
"150549 Palestina do Pará";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;8;4,0;-;-
"150550 Paragominas";54;54;81037,95;64621,41;-;-;16416,54;-;-;1500,70;1500,70;341;6,3;-;-
"150553 Parauapebas";90;90;306175,28;256159,59;-;-;50015,69;-;-;3401,95;3401,95;780;8,7;36;40,00
"150555 Pau D'Arco";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;24;2,4;-;-
"150580 Portel";23;23;34500,00;27507,77;-;-;6992,23;-;-;1500,00;1500,00;79;3,4;-;-
"150600 Prainha";26;26;39000,00;31095,74;-;-;7904,26;-;-;1500,00;1500,00;107;4,1;2;7,69
"150613 Redenção";129;129;236491,99;196092,33;-;-;40399,66;-;-;1833,27;1833,27;830;6,4;49;37,98
"150616 Rio Maria";31;31;46716,00;37291,69;-;-;9424,31;-;-;1506,97;1506,97;238;7,7;1;3,23
"150618 Rondon do Pará";13;13;19500,00;15547,87;-;-;3952,13;-;-;1500,00;1500,00;50;3,8;-;-
"150620 Salinópolis";58;58;87000,00;69367,42;-;-;17632,58;-;-;1500,00;1500,00;245;4,2;5;8,62
"150650 Santa Izabel do Pará";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;42;6,0;-;-
"150658 Santa Maria das Barreiras";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;6;2,0;-;-
"150660 Santa Maria do Pará";37;37;56844,00;45595,63;-;-;11248,37;-;-;1536,32;1536,32;168;4,5;2;5,41
"150670 Santana do Araguaia";21;21;31500,00;25115,79;-;-;6384,21;-;-;1500,00;1500,00;106;5,0;-;-
"150680 Santarém";296;296;1676479,16;1425137,57;-;-;251341,59;-;-;5663,78;5663,78;2794;9,4;84;28,38
"150700 Santo Antônio do Tauá";3;3;4516,00;3603,97;-;-;912,03;-;-;1505,33;1505,33;10;3,3;-;-
"150715 São Domingos do Araguaia";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;22;3,7;-;-
"150730 São Félix do Xingu";33;33;49548,00;39515,67;-;-;10032,33;-;-;1501,45;1501,45;95;2,9;3;9,09
"150747 São João de Pirabas";19;19;28708,00;22931,81;-;-;5776,19;-;-;1510,95;1510,95;45;2,4;1;5,26
"150750 São João do Araguaia";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;40;5,7;-;-
"150760 São Miguel do Guamá";24;24;36481,17;29184,93;-;-;7296,24;-;-;1520,05;1520,05;124;5,2;-;-
"150780 Senador José Porfírio";7;7;10532,00;8403,93;-;-;2128,07;-;-;1504,57;1504,57;60;8,6;-;-
"150797 Terra Santa";12;12;18440,00;14791,88;-;-;3648,12;-;-;1536,67;1536,67;55;4,6;-;-
"150805 Trairão";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;23;3,8;-;-
"150808 Tucumã";36;36;55275,90;44331,54;-;-;10944,36;-;-;1535,44;1535,44;146;4,1;1;2,78
"150810 Tucuruí";1;1;1580,00;1275,99;-;-;304,01;-;-;1580,00;1580,00;10;10,0;-;-
"150812 Ulianópolis";9;9;13724,00;10987,91;-;-;2736,09;-;-;1524,89;1524,89;28;3,1;-;-
"150815 Uruará";26;26;39037,95;31133,69;-;-;7904,26;-;-;1501,46;1501,46;140;5,4;3;11,54
"150820 Vigia";15;15;22700,00;18139,85;-;-;4560,15;-;-;1513,33;1513,33;63;4,2;-;-
"150830 Viseu";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;22;4,4;1;20,00
"150835 Vitória do Xingu";21;21;32340,00;25955,79;-;-;6384,21;-;-;1540,00;1540,00;107;5,1;1;4,76
"150840 Xinguara";59;59;96509,22;78572,63;-;-;17936,59;-;-;1635,75;1635,75;219;3,7;-;-
"160027 Laranjal do Jari";111;111;167107,80;133246,59;-;-;33861,21;-;-;1505,48;1505,48;633;5,7;36;32,43
"160030 Macapá";272;272;991987,21;829000,32;-;-;162986,89;-;-;3647,01;3647,01;1947;7,2;58;21,32
"160050 Oiapoque";21;21;31500,00;25115,79;-;-;6384,21;-;-;1500,00;1500,00;56;2,7;-;-
"160015 Pedra Branca do Amapari";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"160060 Santana";111;111;173327,59;139203,22;-;-;34124,37;-;-;1561,51;1561,51;868;7,8;42;37,84
"170070 Alvorada";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;4;1,3;1;33,33
"170200 Araguaçu";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;19;9,5;-;-
"170210 Araguaína";203;203;1569701,76;1337855,86;-;-;231845,90;-;-;7732,52;7732,52;1762;8,7;82;40,39
"170230 Arapoema";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;1;0,5;-;-
"170255 Augustinópolis";6;6;9088,00;7263,94;-;-;1824,06;-;-;1514,67;1514,67;36;6,0;1;16,67
"170550 Colinas do Tocantins";27;27;41045,64;32837,37;-;-;8208,27;-;-;1520,21;1520,21;78;2,9;2;7,41
"170700 Dianópolis";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"170820 Formoso do Araguaia";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;25;4,2;-;-
"170900 Goiatins";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;16;5,3;-;-
"170930 Guaraí";5;5;7542,03;6021,98;-;-;1520,05;-;-;1508,41;1508,41;20;4,0;-;-
"170950 Gurupi";14;14;21580,48;17324,34;-;-;4256,14;-;-;1541,46;1541,46;61;4,4;4;28,57
"171320 Miracema do Tocantins";33;33;50535,23;40502,91;-;-;10032,32;-;-;1531,37;1531,37;124;3,8;4;12,12
"172100 Palmas";93;93;409982,82;346474,54;-;-;63508,28;-;-;4408,42;4408,42;530;5,7;35;37,63
"171610 Paraíso do Tocantins";19;19;29277,76;23497,70;-;-;5780,06;-;-;1540,93;1540,93;78;4,1;1;5,26
"171620 Paranã";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"171660 Peixe";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
"171820 Porto Nacional";4;4;6064,00;4847,96;-;-;1216,04;-;-;1516,00;1516,00;21;5,3;-;-
"172120 Tocantinópolis";20;20;30376,00;24295,80;-;-;6080,20;-;-;1518,80;1518,80;51;2,5;-;-
"172210 Xambioá";25;25;37924,00;30323,75;-;-;7600,25;-;-;1516,96;1516,96;93;3,7;-;-
"210005 Açailândia";164;164;384117,16;314720,32;-;-;69396,84;-;-;2342,18;2342,18;959;5,8;16;9,76
"210047 Alto Alegre do Pindaré";15;15;22860,00;18299,85;-;-;4560,15;-;-;1524,00;1524,00;58;3,9;-;-
"210060 Amarante do Maranhão";23;23;35260,00;28267,77;-;-;6992,23;-;-;1533,04;1533,04;98;4,3;2;8,70
"210080 Anapurus";28;28;42712,00;34199,72;-;-;8512,28;-;-;1525,43;1525,43;94;3,4;-;-
"210090 Araioses";10;10;15328,00;12287,90;-;-;3040,10;-;-;1532,80;1532,80;43;4,3;-;-
"210095 Arame";14;14;21024,00;16767,86;-;-;4256,14;-;-;1501,71;1501,71;22;1,6;-;-
"210120 Bacabal";155;155;256310,80;207302,61;-;-;49008,19;-;-;1653,62;1653,62;722;4,7;25;16,13
"210140 Balsas";42;42;196829,05;166364,83;-;-;30464,22;-;-;4686,41;4686,41;330;7,9;17;40,48
"210160 Barra do Corda";2;2;3128,00;2519,98;-;-;608,02;-;-;1564,00;1564,00;17;8,5;-;-
"210170 Barreirinhas";24;24;41199,28;33903,04;-;-;7296,24;-;-;1716,64;1716,64;149;6,2;5;20,83
"210177 Bela Vista do Maranhão";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;27;2,5;-;-
"210193 Bernardo do Mearim";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;28;2,8;-;-
"210200 Bom Jardim";36;36;54000,00;43055,64;-;-;10944,36;-;-;1500,00;1500,00;118;3,3;-;-
"210203 Bom Jesus das Selvas";32;32;48456,00;38727,68;-;-;9728,32;-;-;1514,25;1514,25;59;1,8;1;3,13
"210210 Brejo";33;33;50036,00;40003,67;-;-;10032,33;-;-;1516,24;1516,24;155;4,7;3;9,09
"210230 Buriti Bravo";23;23;35060,00;28067,77;-;-;6992,23;-;-;1524,35;1524,35;70;3,0;-;-
"210280 Carolina";25;25;37852,00;30251,75;-;-;7600,25;-;-;1514,08;1514,08;117;4,7;-;-
