 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"211003 Santa Luzia do Paruá";115;172501,00;1090;23
"211020 Santa Rita";14;21000,00;54;-
"211023 Santana do Maranhão";1;1508,00;2;-
"211027 Santo Amaro do Maranhão";4;6080,00;13;-
"211060 São Bernardo";82;123632,00;460;-
"211065 São Domingos do Azeitão";5;7500,00;19;-
"211070 São Domingos do Maranhão";216;332336,00;1082;-
"211085 São Francisco do Brejão";110;165000,00;327;-
"211090 São Francisco do Maranhão";6;9136,00;17;-
"211102 São João do Carú";22;33064,00;60;-
"211107 São João do Soter";67;101041,40;362;-
"211120 São José de Ribamar";11;17371,98;112;2
"211130 São Luís";4248;22052610,04;42927;1409
"211140 São Luís Gonzaga do Maranhão";91;137220,00;250;1
"211150 São Mateus do Maranhão";48;72977,19;127;13
"211153 São Pedro da Água Branca";2;3000,00;6;-
"211157 São Pedro dos Crentes";66;99000,00;342;-
"211160 São Raimundo das Mangabeiras";129;196596,00;516;-
"211170 São Vicente Ferrer";6;9000,00;12;-
"211174 Senador Alexandre Costa";1;1500,00;6;-
"211180 Sítio Novo";64;96176,00;221;2
"211195 Sucupira do Riachão";21;31708,00;26;-
"211200 Tasso Fragoso";4;6096,00;25;-
"211210 Timbiras";195;314191,18;894;20
"211220 Timon";649;1934226,83;4531;147
"211223 Trizidela do Vale";76;114000,00;325;19
"211230 Tuntum";65;99796,00;340;-
"211250 Tutóia";75;113634,15;442;2
"211260 Urbano Santos";93;140244,00;270;2
"211270 Vargem Grande";13;19741,00;86;-
"211280 Viana";63;96439,60;219;2
"211285 Vila Nova dos Martírios";36;54496,00;62;-
"211300 Vitorino Freire";141;215964,00;834;-
"211400 Zé Doca";309;463572,00;1142;22
"220020 Água Branca";147;220944,06;731;2
"220030 Alto Longá";4;6000,00;2;-
"220040 Altos";73;110212,00;325;2
"220050 Amarante";54;81132,00;203;2
"220100 Arraial";1;1500,00;3;-
"220120 Barras";98;147008,00;496;7
"220150 Batalha";52;78000,00;248;-
"220160 Beneditinos";1;1500,00;2;-
"220190 Bom Jesus";275;460590,64;1671;40
"220220 Campo Maior";96;144000,00;544;8
"220230 Canto do Buriti";100;150000,00;427;-
"220260 Castelo do Piauí";7;10684,00;32;-
"220290 Corrente";41;61500,00;265;2
"220320 Curimatá";23;34500,00;127;1
"220330 Demerval Lobão";70;105000,00;450;-
"220370 Esperantina";196;294040,00;560;9
"220390 Floriano";594;1001633,41;3755;94
"220550 José de Freitas";10;15000,00;51;-
"220580 Luzilândia";154;231360,00;895;-
"220620 Miguel Alves";28;42000,00;110;1
"220700 Oeiras";299;920107,65;1859;46
"220760 Parnaguá";77;115500,00;232;-
"220770 Parnaíba";732;2930717,95;6093;235
"220780 Paulistana";5;7500,00;31;-
"220790 Pedro II";63;94892,18;332;1
"220800 Picos";216;392879,41;1364;37
"220840 Piripiri";212;1625029,12;1825;77
"220850 Porto";12;18000,00;34;-
"220990 São João da Serra";1;1500,00;-;-
"221040 São Miguel do Tapuio";1;1500,00;4;-
"221050 São Pedro do Piauí";18;27000,00;86;-
"221060 São Raimundo Nonato";166;252568,00;886;18
"221100 Teresina";5753;36697748,10;48150;1157
"221110 União";28;42160,00;142;2
"221120 Uruçuí";177;266564,48;821;9
"221130 Valença do Piauí";84;126712,14;377;-
"230020 Acaraú";74;114356,39;522;9
"230030 Acopiara";108;162864,00;592;2
"230040 Aiuaba";10;15000,00;62;-
