 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Out/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210900 Porto Franco";8;8;12280,00;9847,92;-;-;2432,08;-;-;1535,00;1535,00;35;4,4;-;-
"210910 Presidente Dutra";56;56;196779,86;165498,62;-;-;31281,24;-;-;3513,93;3513,93;526;9,4;21;37,50
"210960 Rosário";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"210970 Sambaíba";4;4;6064,00;4847,96;-;-;1216,04;-;-;1516,00;1516,00;9;2,3;1;25,00
"210980 Santa Helena";2;2;3040,00;2431,98;-;-;608,02;-;-;1520,00;1520,00;5;2,5;-;-
"210990 Santa Inês";15;15;112886,28;96620,10;-;-;16266,18;-;-;7525,75;7525,75;261;17,4;1;6,67
"211000 Santa Luzia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"211003 Santa Luzia do Paruá";13;13;19501,00;15548,87;-;-;3952,13;-;-;1500,08;1500,08;151;11,6;1;7,69
"211060 São Bernardo";3;3;4524,00;3611,97;-;-;912,03;-;-;1508,00;1508,00;12;4,0;-;-
"211070 São Domingos do Maranhão";1;1;1540,00;1235,99;-;-;304,01;-;-;1540,00;1540,00;5;5,0;-;-
"211085 São Francisco do Brejão";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;12;3,0;-;-
"211090 São Francisco do Maranhão";1;1;1540,00;1235,99;-;-;304,01;-;-;1540,00;1540,00;5;5,0;-;-
"211107 São João do Soter";13;13;19500,00;15547,87;-;-;3952,13;-;-;1500,00;1500,00;57;4,4;-;-
"211130 São Luís";436;436;1708780,04;1434573,12;-;-;274206,92;-;-;3919,22;3919,22;4983;11,4;121;27,75
"211140 São Luís Gonzaga do Maranhão";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;14;14,0;-;-
