 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Set/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"521730 Pirenópolis";7;7;10716,00;8587,93;-;-;2128,07;-;-;1530,86;1530,86;30;4,3;-;-
"521740 Pires do Rio";18;18;27120,00;21647,82;-;-;5472,18;-;-;1506,67;1506,67;76;4,2;3;16,67
"521760 Planaltina";26;26;39392,00;31487,74;-;-;7904,26;-;-;1515,08;1515,08;75;2,9;2;7,69
"521770 Pontalina";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;2;0,3;-;-
"521800 Porangatu";84;84;783546,98;667811,74;-;-;115735,24;-;-;9327,94;9327,94;615;7,3;25;29,76
"521830 Posse";10;10;15216,00;12175,90;-;-;3040,10;-;-;1521,60;1521,60;28;2,8;2;20,00
"521850 Quirinópolis";43;43;71272,45;58130,36;-;-;13142,09;-;-;1657,50;1657,50;234;5,4;3;6,98
"521860 Rialma";21;21;31500,00;25115,79;-;-;6384,21;-;-;1500,00;1500,00;49;2,3;1;4,76
"521880 Rio Verde";214;214;975688,33;826541,52;-;-;149146,81;-;-;4559,29;4559,29;1694;7,9;40;18,69
"521890 Rubiataba";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"521920 Santa Cruz de Goiás";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;4;4,0;-;-
"521930 Santa Helena de Goiás";47;47;71535,77;57220,21;-;-;14315,56;-;-;1522,04;1522,04;297;6,3;1;2,13
"521975 Santo Antônio do Descoberto";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;67;9,6;-;-
"522010 São Luís de Montes Belos";35;35;123165,41;102528,26;-;-;20637,15;-;-;3519,01;3519,01;198;5,7;7;20,00
"522020 São Miguel do Araguaia";11;11;16572,00;13227,89;-;-;3344,11;-;-;1506,55;1506,55;11;1,0;-;-
"522040 São Simão";12;12;19667,64;16011,78;-;-;3655,86;-;-;1638,97;1638,97;46;3,8;1;8,33
"522068 Simolândia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"522140 Trindade";78;78;297927,60;249058,14;-;-;48869,46;-;-;3819,58;3819,58;595;7,6;16;20,51
"522155 Turvelândia";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;6;1,2;-;-
"522185 Valparaíso de Goiás";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;16;1,6;1;10,00
"522200 Vianópolis";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;13;4,3;-;-
"530010 Brasília";1144;1144;3504136,30;2979437,72;-;-;524698,58;-;-;3063,06;3063,06;11201;9,8;166;14,51
