 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Dez/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"221040 São Miguel do Tapuio";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;4;4,0;-;-
"221050 São Pedro do Piauí";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;8;4,0;-;-
"221060 São Raimundo Nonato";39;39;58556,00;46699,61;-;-;11856,39;-;-;1501,44;1501,44;250;6,4;2;5,13
"221100 Teresina";541;541;4810711,91;4130542,88;-;-;680169,03;-;-;8892,26;8892,26;5250;9,7;111;20,52
"221110 União";3;3;4532,00;3619,97;-;-;912,03;-;-;1510,67;1510,67;19;6,3;-;-
"221130 Valença do Piauí";20;20;30292,10;24211,90;-;-;6080,20;-;-;1514,61;1514,61;71;3,5;-;-
"230020 Acaraú";2;2;3058,47;2450,45;-;-;608,02;-;-;1529,23;1529,23;5;2,5;-;-
"230030 Acopiara";7;7;10588,00;8459,93;-;-;2128,07;-;-;1512,57;1512,57;72;10,3;-;-
"230110 Aracati";6;6;10022,68;8198,62;-;-;1824,06;-;-;1670,45;1670,45;68;11,3;1;16,67
"230160 Assaré";13;13;19580,00;15627,87;-;-;3952,13;-;-;1506,15;1506,15;53;4,1;-;-
"230170 Aurora";8;8;12288,00;9855,92;-;-;2432,08;-;-;1536,00;1536,00;40;5,0;-;-
"230200 Barro";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;9;4,5;-;-
"230240 Boa Viagem";3;3;4604,69;3692,66;-;-;912,03;-;-;1534,90;1534,90;9;3,0;-;-
"230250 Brejo Santo";132;132;483687,85;404424,30;-;-;79263,55;-;-;3664,30;3664,30;566;4,3;13;9,85
"230280 Canindé";24;24;37289,02;29907,64;-;-;7381,38;-;-;1553,71;1553,71;180;7,5;2;8,33
"230320 Caririaçu";3;3;4588,00;3675,97;-;-;912,03;-;-;1529,33;1529,33;14;4,7;-;-
"230330 Cariús";3;3;4604,12;3684,35;-;-;919,77;-;-;1534,71;1534,71;23;7,7;-;-
"230340 Carnaubal";3;3;4619,99;3707,97;-;-;912,02;-;-;1540,00;1540,00;14;4,7;-;-
"230360 Catarina";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;27;5,4;-;-
"230370 Caucaia";10;10;15104,20;12064,10;-;-;3040,10;-;-;1510,42;1510,42;54;5,4;2;20,00
"230380 Cedro";12;12;18000,00;14351,88;-;-;3648,12;-;-;1500,00;1500,00;48;4,0;3;25,00
"230395 Chorozinho";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;29;2,9;1;10,00
"230410 Crateús";46;46;225492,10;189469,24;-;-;36022,86;-;-;4902,00;4902,00;365;7,9;11;23,91
"230420 Crato";29;29;58953,30;49147,88;-;-;9805,42;-;-;2032,87;2032,87;220;7,6;7;24,14
"230423 Croatá";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;4;4,0;-;-
"230425 Cruz";1;1;1524,00;1219,99;-;-;304,01;-;-;1524,00;1524,00;3;3,0;-;-
"230426 Deputado Irapuan Pinheiro";7;7;10548,00;8419,93;-;-;2128,07;-;-;1506,86;1506,86;12;1,7;-;-
"230440 Fortaleza";359;359;951207,02;802803,16;-;-;148403,86;-;-;2649,60;2649,60;3646;10,2;49;13,65
"230500 Guaraciaba do Norte";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;20;6,7;-;-
"230530 Ibiapina";2;2;3096,00;2487,98;-;-;608,02;-;-;1548,00;1548,00;12;6,0;-;-
"230540 Icó";14;14;125594,96;106798,02;-;-;18796,94;-;-;8971,07;8971,07;208;14,9;9;64,29
"230550 Iguatu";13;13;20244,00;16291,87;-;-;3952,13;-;-;1557,23;1557,23;92;7,1;4;30,77
"230580 Ipu";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;15;3,8;-;-
"230600 Iracema";8;8;12064,00;9631,92;-;-;2432,08;-;-;1508,00;1508,00;41;5,1;1;12,50
"230640 Itapipoca";26;26;367445,74;316762,11;-;-;50683,63;-;-;14132,53;14132,53;293;11,3;11;42,31
"230650 Itapiúna";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"230670 Jaguaretama";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;9;4,5;-;-
"230690 Jaguaribe";3;3;4499,99;3587,97;-;-;912,02;-;-;1500,00;1500,00;14;4,7;-;-
"230710 Jardim";5;5;7756,00;6235,95;-;-;1520,05;-;-;1551,20;1551,20;30;6,0;-;-
"230730 Juazeiro do Norte";53;53;401946,61;343347,23;-;-;58599,38;-;-;7583,90;7583,90;440;8,3;22;41,51
"230740 Jucás";1;1;1564,00;1259,99;-;-;304,01;-;-;1564,00;1564,00;8;8,0;-;-
"230750 Lavras da Mangabeira";27;27;41028,00;32819,73;-;-;8208,27;-;-;1519,56;1519,56;88;3,3;1;3,70
"230760 Limoeiro do Norte";66;66;494613,42;418907,18;-;-;75706,24;-;-;7494,14;7494,14;375;5,7;13;19,70
"230765 Maracanaú";38;38;145392,28;121964,54;-;-;23427,74;-;-;3826,11;3826,11;414;10,9;6;15,79
"230800 Massapê";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;23;4,6;-;-
"230810 Mauriti";10;10;15160,00;12119,90;-;-;3040,10;-;-;1516,00;1516,00;37;3,7;1;10,00
"230830 Milagres";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;10;5,0;-;-
"230840 Missão Velha";5;5;7516,00;5995,95;-;-;1520,05;-;-;1503,20;1503,20;16;3,2;-;-
"230850 Mombaça";11;11;16640,10;13295,99;-;-;3344,11;-;-;1512,74;1512,74;60;5,5;-;-
"230870 Morada Nova";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;7;7,0;-;-
"230950 Orós";2;2;3032,00;2423,98;-;-;608,02;-;-;1516,00;1516,00;15;7,5;1;50,00
"230970 Pacatuba";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
